"State","Effect_Duration","Effect_Category","Effect","Age","Deaths"
"AL","Chronic","Cancer","Cancer, laryngeal","0-19",0
"AL","Chronic","Cancer","Cancer, laryngeal","20-34",0
"AL","Chronic","Cancer","Cancer, laryngeal","35-49",0
"AL","Chronic","Cancer","Cancer, laryngeal","50-64",0
"AL","Chronic","Cancer","Cancer, laryngeal","65+",0
"AL","Chronic","Cancer","Cancer, liver","0-19",0
"AL","Chronic","Cancer","Cancer, liver","20-34",0
"AL","Chronic","Cancer","Cancer, liver","35-49",0
"AL","Chronic","Cancer","Cancer, liver","50-64",25
"AL","Chronic","Cancer","Cancer, liver","65+",52
"AL","Chronic","Cancer","Cancer, oral cavity and pharyngeal","0-19",0
"AL","Chronic","Cancer","Cancer, oral cavity and pharyngeal","20-34",0
"AL","Chronic","Cancer","Cancer, oral cavity and pharyngeal","35-49",0
"AL","Chronic","Cancer","Cancer, oral cavity and pharyngeal","50-64",18
"AL","Chronic","Cancer","Cancer, oral cavity and pharyngeal","65+",29
"AL","Chronic","Cancer","Cancer, pancreatic","0-19",0
"AL","Chronic","Cancer","Cancer, pancreatic","20-34",0
"AL","Chronic","Cancer","Cancer, pancreatic","35-49",0
"AL","Chronic","Cancer","Cancer, pancreatic","50-64",0
"AL","Chronic","Cancer","Cancer, pancreatic","65+",0
"AL","Chronic","Cancer","Cancer, prostate (males only)","0-19",0
"AL","Chronic","Cancer","Cancer, prostate (males only)","20-34",0
"AL","Chronic","Cancer","Cancer, prostate (males only)","35-49",0
"AL","Chronic","Cancer","Cancer, prostate (males only)","50-64",0
"AL","Chronic","Cancer","Cancer, prostate (males only)","65+",0
"AL","Chronic","Cancer","Cancer, stomach","0-19",0
"AL","Chronic","Cancer","Cancer, stomach","20-34",0
"AL","Chronic","Cancer","Cancer, stomach","35-49",0
"AL","Chronic","Cancer","Cancer, stomach","50-64",0
"AL","Chronic","Cancer","Cancer, stomach","65+",0
"AL","Chronic","Heart Disease and Stroke","Atrial fibrillation","0-19",0
"AL","Chronic","Heart Disease and Stroke","Atrial fibrillation","20-34",0
"AL","Chronic","Heart Disease and Stroke","Atrial fibrillation","35-49",0
"AL","Chronic","Heart Disease and Stroke","Atrial fibrillation","50-64",0
"AL","Chronic","Heart Disease and Stroke","Atrial fibrillation","65+",15
"AL","Chronic","Heart Disease and Stroke","Coronary heart disease","0-19",0
"AL","Chronic","Heart Disease and Stroke","Coronary heart disease","20-34",0
"AL","Chronic","Heart Disease and Stroke","Coronary heart disease","35-49",0
"AL","Chronic","Heart Disease and Stroke","Coronary heart disease","50-64",21
"AL","Chronic","Heart Disease and Stroke","Coronary heart disease","65+",66
"AL","Chronic","Heart Disease and Stroke","Hypertension","0-19",0
"AL","Chronic","Heart Disease and Stroke","Hypertension","20-34",0
"AL","Chronic","Heart Disease and Stroke","Hypertension","35-49",15
"AL","Chronic","Heart Disease and Stroke","Hypertension","50-64",52
"AL","Chronic","Heart Disease and Stroke","Hypertension","65+",248
"AL","Chronic","Heart Disease and Stroke","Stroke, hemorrhagic","0-19",0
"AL","Chronic","Heart Disease and Stroke","Stroke, hemorrhagic","20-34",0
"AL","Chronic","Heart Disease and Stroke","Stroke, hemorrhagic","35-49",0
"AL","Chronic","Heart Disease and Stroke","Stroke, hemorrhagic","50-64",11
"AL","Chronic","Heart Disease and Stroke","Stroke, hemorrhagic","65+",36
"AL","Chronic","Heart Disease and Stroke","Stroke, ischemic","0-19",0
"AL","Chronic","Heart Disease and Stroke","Stroke, ischemic","20-34",0
"AL","Chronic","Heart Disease and Stroke","Stroke, ischemic","35-49",0
"AL","Chronic","Heart Disease and Stroke","Stroke, ischemic","50-64",0
"AL","Chronic","Heart Disease and Stroke","Stroke, ischemic","65+",57
"AL","Chronic","Liver, Gallbladder, and Pancreas","Esophageal varices","0-19",0
"AL","Chronic","Liver, Gallbladder, and Pancreas","Esophageal varices","20-34",0
"AL","Chronic","Liver, Gallbladder, and Pancreas","Esophageal varices","35-49",0
"AL","Chronic","Liver, Gallbladder, and Pancreas","Esophageal varices","50-64",0
"AL","Chronic","Liver, Gallbladder, and Pancreas","Esophageal varices","65+",0
"AL","Chronic","Liver, Gallbladder, and Pancreas","Gallbladder disease","0-19",0
"AL","Chronic","Liver, Gallbladder, and Pancreas","Gallbladder disease","20-34",0
"AL","Chronic","Liver, Gallbladder, and Pancreas","Gallbladder disease","35-49",0
"AL","Chronic","Liver, Gallbladder, and Pancreas","Gallbladder disease","50-64",0
"AL","Chronic","Liver, Gallbladder, and Pancreas","Gallbladder disease","65+",0
"AL","Chronic","Liver, Gallbladder, and Pancreas","Gastroesophageal hemorrhage","0-19",0
"AL","Chronic","Liver, Gallbladder, and Pancreas","Gastroesophageal hemorrhage","20-34",0
"AL","Chronic","Liver, Gallbladder, and Pancreas","Gastroesophageal hemorrhage","35-49",0
"AL","Chronic","Liver, Gallbladder, and Pancreas","Gastroesophageal hemorrhage","50-64",0
"AL","Chronic","Liver, Gallbladder, and Pancreas","Gastroesophageal hemorrhage","65+",0
"AL","Chronic","Liver, Gallbladder, and Pancreas","Liver cirrhosis, unspecified","0-19",0
"AL","Chronic","Liver, Gallbladder, and Pancreas","Liver cirrhosis, unspecified","20-34",0
"AL","Chronic","Liver, Gallbladder, and Pancreas","Liver cirrhosis, unspecified","35-49",30
"AL","Chronic","Liver, Gallbladder, and Pancreas","Liver cirrhosis, unspecified","50-64",116
"AL","Chronic","Liver, Gallbladder, and Pancreas","Liver cirrhosis, unspecified","65+",141
"AL","Chronic","Liver, Gallbladder, and Pancreas","Pancreatitis, acute","0-19",0
"AL","Chronic","Liver, Gallbladder, and Pancreas","Pancreatitis, acute","20-34",0
"AL","Chronic","Liver, Gallbladder, and Pancreas","Pancreatitis, acute","35-49",0
"AL","Chronic","Liver, Gallbladder, and Pancreas","Pancreatitis, acute","50-64",0
